Time,X,Y,Z
1.855,0.001,-0.009,-0.008
1.86,-0.007,-0.008,-0.001
1.865,-0.012,-0.001,0.002
1.87,-0.009,0.007,-0.001
1.875,-0.002,0.011,-0.005
1.88,0.003,0.009,-0.008
1.885,0.002,0.005,-0.009
1.89,-0.003,0.003,-0.009
1.895,-0.007,0.005,-0.009
1.9,-0.007,0.006,-0.007
1.905,-0.005,0.003,-0.001
1.91,-0.002,0,0.006
1.915,-0.002,-0.001,0.007
1.92,-0.002,0.002,0.003
1.925,0,0.004,-0.004
1.93,0.004,0.003,-0.006
1.935,0.01,-0.001,-0.003
1.94,0.014,-0.006,0.003
1.945,0.014,-0.013,0.006
1.95,0.011,-0.018,0.002
1.955,0.008,-0.02,-0.006
1.96,0.007,-0.016,-0.012
1.965,0.006,-0.007,-0.011
1.97,0.001,0.003,-0.006
1.975,-0.006,0.007,-0.005
1.98,-0.011,0.001,-0.01
1.985,-0.007,-0.008,-0.016
1.99,0,-0.015,-0.018
1.995,0.006,-0.016,-0.014
2,0.006,-0.012,-0.008
2.005,0.003,-0.008,-0.002
2.01,0,-0.007,0.001
2.015,-0.001,-0.008,0.001
2.02,-0.001,-0.009,-0.004
2.025,-0.003,-0.009,-0.013
2.03,-0.004,-0.008,-0.021
2.035,-0.002,-0.006,-0.023
2.04,0.003,-0.005,-0.015
2.045,0.006,-0.005,-0.003
2.05,0.004,-0.005,0.007
2.055,-0.004,-0.003,0.01
2.06,-0.012,-0.001,0.009
2.065,-0.015,-0.001,0.005
2.07,-0.013,-0.003,0
2.075,-0.007,-0.003,-0.006
2.08,-0.002,-0.001,-0.012
2.085,0.001,0.002,-0.013
2.09,0.005,0.002,-0.007
2.095,0.009,-0.002,0.003
2.1,0.012,-0.01,0.012
2.105,0.01,-0.015,0.015
2.11,0.005,-0.016,0.01
2.115,0,-0.015,0.001
2.12,-0.002,-0.012,-0.008
2.125,-0.001,-0.008,-0.012
2.13,0,-0.001,-0.011
2.135,-0.001,0.004,-0.008
2.14,-0.005,0.004,-0.004
2.145,-0.006,-0.002,0.001
2.15,-0.005,-0.012,0.005
2.155,0,-0.019,0.007
2.16,0.007,-0.019,0.006
2.165,0.013,-0.016,0.003
2.17,0.014,-0.012,0
2.175,0.008,-0.012,-0.002
2.18,0,-0.012,-0.004
2.185,-0.005,-0.01,-0.005
2.19,-0.004,-0.004,-0.006
2.195,0.001,0.002,-0.006
2.2,0.004,0.003,-0.005
2.205,0.001,-0.002,-0.006
2.21,-0.004,-0.01,-0.007
2.215,-0.007,-0.015,-0.006
2.22,-0.006,-0.012,-0.003
2.225,-0.002,-0.005,0.003
2.23,0,-0.001,0.008
2.235,-0.002,-0.004,0.009
2.24,-0.006,-0.01,0.005
2.245,-0.008,-0.014,-0.001
2.25,-0.007,-0.015,-0.007
2.255,-0.004,-0.013,-0.01
2.26,-0.004,-0.013,-0.008
2.265,-0.01,-0.013,-0.003
2.27,-0.018,-0.012,0.002
2.275,-0.019,-0.01,0.005
2.28,-0.012,-0.008,0.005
2.285,-0.001,-0.007,0.002
2.29,0.005,-0.008,-0.004
2.295,0.002,-0.007,-0.012
2.3,-0.007,-0.006,-0.018
2.305,-0.01,-0.007,-0.016
2.31,-0.006,-0.01,-0.005
2.315,0.003,-0.012,0.009
2.32,0.008,-0.012,0.018
2.325,0.005,-0.009,0.016
2.33,-0.003,-0.006,0.006
2.335,-0.006,-0.008,-0.006
2.34,0,-0.014,-0.015
2.345,0.011,-0.021,-0.017
2.35,0.016,-0.023,-0.013
2.355,0.01,-0.02,-0.007
2.36,-0.004,-0.015,-0.004
2.365,-0.016,-0.012,-0.004
2.37,-0.018,-0.011,-0.005
2.375,-0.013,-0.012,-0.005
2.38,-0.007,-0.012,-0.003
2.385,-0.004,-0.009,0
2.39,-0.005,-0.005,0
2.395,-0.008,-0.002,-0.003
2.4,-0.009,0,-0.009
2.405,-0.008,0,-0.014
2.41,-0.006,0,-0.013
2.415,-0.005,0,-0.003
2.42,-0.006,-0.002,0.011
2.425,-0.009,-0.006,0.018
2.43,-0.012,-0.011,0.014
2.435,-0.011,-0.013,0.001
2.44,-0.006,-0.013,-0.01
2.445,0.002,-0.013,-0.012
2.45,0.008,-0.014,-0.007
2.455,0.01,-0.014,-0.004
2.46,0.006,-0.011,-0.004
2.465,0.003,-0.008,-0.005
2.47,0.003,-0.009,-0.002
2.475,0.004,-0.013,0.004
2.48,0.002,-0.017,0.009
2.485,-0.005,-0.018,0.011
2.49,-0.012,-0.015,0.009
2.495,-0.017,-0.011,0.005
2.5,-0.016,-0.01,0
2.505,-0.013,-0.011,-0.005
2.51,-0.012,-0.012,-0.008
2.515,-0.014,-0.012,-0.008
2.52,-0.014,-0.01,-0.006
2.525,-0.011,-0.008,-0.002
2.53,-0.006,-0.007,0.002
2.535,-0.004,-0.006,0.005
2.54,-0.006,-0.007,0.005
2.545,-0.009,-0.009,0.005
2.55,-0.011,-0.011,0.007
2.555,-0.007,-0.013,0.012
2.56,-0.002,-0.011,0.014
2.565,0.003,-0.008,0.009
2.57,0.004,-0.007,-0.001
2.575,0.002,-0.009,-0.007
2.58,-0.002,-0.012,-0.005
2.585,-0.004,-0.013,0
2.59,-0.003,-0.011,0
2.595,0.001,-0.005,-0.005
2.6,0.003,-0.001,-0.01
2.605,0.001,0.001,-0.009
2.61,-0.003,0,-0.004
2.615,-0.006,-0.004,-0.001
2.62,-0.005,-0.006,-0.003
2.625,0,-0.004,-0.005
2.63,0.006,0,-0.003
2.635,0.008,0.004,0.005
2.64,0.005,0.004,0.015
2.645,-0.001,0,0.019
2.65,-0.005,-0.005,0.016
2.655,-0.004,-0.01,0.009
2.66,0.002,-0.012,0.004
2.665,0.009,-0.011,0.001
2.67,0.013,-0.009,-0.001
2.675,0.01,-0.008,-0.004
2.68,0.003,-0.007,-0.007
2.685,-0.004,-0.007,-0.009
2.69,-0.007,-0.006,-0.009
2.695,-0.008,-0.005,-0.009
2.7,-0.008,-0.004,-0.01
2.705,-0.009,-0.002,-0.009
2.71,-0.008,-0.001,-0.006
2.715,-0.005,0.001,-0.003
2.72,-0.001,0.003,-0.003
2.725,0.002,0.003,-0.005
2.73,0.001,0.001,-0.008
2.735,-0.003,-0.004,-0.008
2.74,-0.007,-0.009,-0.006
2.745,-0.008,-0.013,-0.005
2.75,-0.005,-0.013,-0.003
2.755,0,-0.009,-0.001
2.76,0.004,-0.005,0.003
2.765,0.005,-0.005,0.004
2.77,0.004,-0.01,-0.001
2.775,0.001,-0.017,-0.011
2.78,-0.003,-0.021,-0.02
2.785,-0.005,-0.02,-0.022
2.79,-0.006,-0.014,-0.016
2.795,-0.006,-0.01,-0.005
2.8,-0.007,-0.009,0.002
2.805,-0.008,-0.01,0.003
2.81,-0.009,-0.01,-0.002
2.815,-0.006,-0.006,-0.009
2.82,-0.001,-0.001,-0.012
2.825,0.005,0,-0.009
2.83,0.007,-0.002,-0.005
2.835,0.004,-0.006,-0.002
2.84,-0.002,-0.008,-0.003
2.845,-0.005,-0.007,-0.003
2.85,-0.004,-0.008,0
2.855,0,-0.01,0.006
2.86,0.002,-0.011,0.009
